nameCanvas,nameMapleTA,courseNameMapleTA
OPTIONAL: Unit 07 Extra Credit,7.7 Prove,
8.1 Linear Patterns and Global Variables,8.1 Linear Patterns and Global Variables,
"8.2 Reference Planes, Axes, Points, Coordinate Systems","8.2 Reference Planes, Axes, Points, Coordinate Systems",
"8.3 External Cosmetic Threads, Holes on Cylindrical Surfaces","8.3 External Cosmetic Threads, Holes on Cylindrical Surfaces",
"8.4 Sweep Features, Equations, Pattern Along Curves","8.4 Sweep Features, Equations, Pattern Along Curves",
8.5 Ponder,8.5 Ponder,
8.6 Prove,8.6 Ponder,
OPTIONAL: Unit 08 Extra Credit,8.7 Prove,
"9.1 Symetric Mates, Interference Detection","9.1 Symetric Mates, Interference Detection",
"9.2 Width Mates, Collision Detection","9.2 Width Mates, Collision Detection",
9.3 Feature Driven Patterns,9.3 Feature Driven Patterns,
9.4 Arbor Press Assembly,9.4 Arbor Press Assembly,
9.5 Ponder,9.5 Ponder,
9.6 Prove,9.6 Ponder,
OPTIONAL: Unit 09 Extra Credit,9.7 Prove,
"10.1 Drawing Sheet Formats, Orthographic Views, Parent Views","10.1 Drawing Sheet Formats, Orthographic Views, Parent Views",
10.2 Section Views,10.2 Section Views,
10.3 Break and Detail Views,10.3 Break and Detail Views,
"10.4 Crop Views, Alternate Position Views, Hole Callouts","10.4 Crop Views, Alternate Position Views, Hole Callouts",
10.5 Ponder,10.5 Ponder,
10.6 Prove,10.6 Ponder,
OPTIONAL: Unit 10 Extra Credit,10.7 Prove,
CSWA Practice Test-1,CSWA Practice Test-1,
CSWA Practice Test-2,CSWA Practice Test-2,
CSWA Practice Test-3,CSWA Practice Test-3,
CSWA Practice Test-4,CSWA Practice Test-4,
CSWA Signup,CSWA Signup,
CSWA,CSWA,
"12.1 Copying, Cutting, Pasting, Redefining Sketch Planes, Loft Features","12.1 Copying, Cutting, Pasting, Redefining Sketch Planes, Loft Features",
"12.2 3D Sketches, Helix Curves, Modeling Springs","12.2 3D Sketches, Helix Curves, Modeling Springs",
12.3 Shell Features,12.3 Shell Features,
12.4 Recovering from Errors and Warnings,12.4 Recovering from Errors and Warnings,
12.5 Insights into Modeling the Vice Handle,12.5 Insights into Modeling the Vice Handle,
12.6 Prove,12.6 Ponder,
OPTIONAL: Unit 12 Extra Credit,12.7 Prove,
13.1 Configurations,13.1 Configurations,
13.2 Design Tables,13.2 Design Tables,
13.3 Flexible Assemblies,13.3 Flexible Assemblies,
13.4 Replacing Components Within Assemblies,13.4 Replacing Components Within Assemblies,
13.5 Ponder,13.5 Ponder,
13.6 Prove,13.6 Ponder,
OPTIONAL: Unit 13 Extra Credit,13.7 Ponder,
CSWP Practice Test,CSWP Practice Test,
CSWP Signup,CSWP Signup,
CSWP,CSWP,
Unit 02 Pace Points,Unit 02 Pace Points,
Unit 03 Pace Point,Unit 03 Pace Point,
Unit 04 Pace Point,Unit 04 Pace Point,
Unit 05 Pace Point,Unit 05 Pace Point,
Unit 06 Pace Point,Unit 06 Pace Point,
Unit 07 Pace Point,Unit 07 Pace Point,
Unit 08 Pace Point,Unit 08 Pace Point,
Unit 09 Pace Point,Unit 09 Pace Point,
Unit 10 Pace Point,Unit 10 Pace Point,
Unit 11 Pace Point,Unit 11 Pace Point,
